Nombre_de_Curso,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Auxiliar,Detalle
0080 TOPOGRAFIA 1,2,PRESENCIAL,S-11,104-DIB,07:10,09:40,SA,NICOLAS DE JESUS GUZMAN SAENZ,,Sin restricciones
0082 TOPOGRAFIA 2,2,PRESENCIAL,S-11,105-DIB,07:10,09:40,SA,MARIO ESTUARDO ARRIOLA AVILA,,Sin restricciones
0252 HIDRAULICA,_3,PRESENCIAL,T-5,LAB-HIDR,15:40,17:20,JU,LUIS EDUARDO PORTILLO ESPAÑA,,Sin restricciones
0458 MECANICA DE SUELOS 1,_3,PRESENCIAL,T-5,CII,14:00,15:40,JU,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,3,PRESENCIAL,T-5,CII,15:40,17:20,MA,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,3,PRESENCIAL,T-3,215,15:40,16:30,MA,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0455 MATERIALES DE CONSTRUCCION 2,3,PRESENCIAL,T-5,CII,07:10,08:50,JU,MIGDALIA AZUCENA DEL CID,,Sin restricciones
0080 TOPOGRAFIA 1,3,PRESENCIAL,S-11,104-DIB,09:40,12:10,SA,MARIO ESTUARDO ARRIOLA AVILA,,Sin restricciones
0082 TOPOGRAFIA 2,3,PRESENCIAL,S-11,105-DIB,09:40,12:10,SA,MARIO ESTUARDO ARRIOLA AVILA,,Sin restricciones
0252 HIDRAULICA,_4,PRESENCIAL,T-5,LAB-HIDR,18:10,19:50,JU,LUIS MANUEL SANDOVAL MENDOZA,,Sin restricciones
0458 MECANICA DE SUELOS 1,_4,PRESENCIAL,T-5,CII,15:40,17:20,JU,MIGDALIA AZUCENA DEL CID,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,4,PRESENCIAL,T-5,CII,17:20,19:00,MA,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,4,PRESENCIAL,T-3,215,15:40,16:30,JU,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0453 MATERIALES DE CONSTRUCCION 1,4,PRESENCIAL,T-5,CII,14:50,16:30,MI,DILMA YANET MEJICANOS JOL,,Sin restricciones
0080 TOPOGRAFIA 1,4,PRESENCIAL,T-3,214,07:10,08:50,MA,PEDRO ROBERTO MARTINEZ  FUENTES,,Sin restricciones
0082 TOPOGRAFIA 2,4+,PRESENCIAL,T-3,211,07:10,12:20,JU,PEDRO ROBERTO MARTINEZ  FUENTES,,Ver Restricciones
0082 TOPOGRAFIA 2,4-,PRESENCIAL,T-3,213,07:10,12:20,JU,ESTUARDO AUGUSTO GARRIDO CHINCHILLA,,Ver Restricciones
0300 RESISTENCIA DE MATERIALES 1,5,PRESENCIAL,T-5,CII,17:20,19:00,MI,LUIS MARIANO ALVAREZ MURALLES,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,5,PRESENCIAL,T-3,212,16:30,17:20,MA,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
0453 MATERIALES DE CONSTRUCCION 1,5,PRESENCIAL,T-5,CII,07:10,08:50,MA,MIGDALIA AZUCENA DEL CID,,Sin restricciones
0080 TOPOGRAFIA 1,5,PRESENCIAL,T-3,211,07:10,08:50,SA,JORGE ALEJANDRO AREVALO VALDEZ,,Sin restricciones
0300 RESISTENCIA DE MATERIALES 1,6,PRESENCIAL,T-5,CII,12:20,14:00,JU,DARIO FRANCISCO LUCAS MAZARIEGOS,,Sin restricciones
0302 RESISTENCIA DE MATERIALES 2,6,PRESENCIAL,T-3,214,16:30,17:20,JU,OMAR ENRIQUE MEDRANO MENDEZ,,Sin restricciones
